ID;Name;Position;Number;Club;CountryOfClub;DateOfBirth;Age;HeightCM;Country;Caps;Goals;PlaysInHomeCountry
233530;Marcelo DIAZ;Midfielder;21;FC Basel;Switzerland;30/dez/86;27;168;Chile;20;1;No
315429;Ogenyi ONAZI;Midfielder;17;SS Lazio;Italy;25/dez/92;21;168;Nigeria;20;1;No
276131;Walter GARGANO;Midfielder;5;Parma FC;Italy;23/jul/84;29;168;Uruguay;62;1;No
286238;Egidio AREVALO;Midfielder;17;CA Monarcas Morelia;Mexico;01/jan/82;32;168;Uruguay;54;0;No
294626;Harrison AFFUL;Defender;23;Esperance Sportive de Tunis;Tunisia;24/jul/86;27;168;Ghana;40;0;No
356704;Juan QUINTERO;Midfielder;20;FC Porto;Portugal;18/jan/93;21;168;Columbia;4;0;No
229397;Lionel MESSI;Forward;10;FC Barcelona;Spain;24/jun/87;26;169;Argentina;84;37;No
318601;Pedro RODRIGUEZ;Forward;11;FC Barcelona;Spain;28/jul/87;26;169;Spain;39;14;Yes
228627;Alexis SANCHEZ;Forward;7;FC Barcelona;Spain;19/dez/88;25;169;Chile;66;22;No
321653;Xherdan SHAQIRI;Midfielder;23;FC Bayern Muenchen;Germany;10/out/91;22;169;Switzerland;33;9;No
275112;Manabu SAITO;Forward;20;Yokohama F-Marinos;Japan;04/abr/90;24;169;Japan;4;1;Yes
297705;Santi CAZORLA;Midfielder;20;Arsenal FC;England;13/dez/84;29;169;Spain;63;11;No
358732;Jordy CLASIE;Midfielder;16;Feyenoord Rotterdam;Netherlands;27/jun/91;22;169;Netherlands;8;0;Yes
200176;David SILVA;Midfielder;21;Manchester City FC;England;08/jan/86;28;170;Spain;79;20;No
237058;Randall BRENES;Forward;14;CSD Cartagines;Costa Rica;13/ago/83;30;170;Costa Rica;39;8;Yes
290452;Jefferson MONTERO;Midfielder;7;CA Monarcas Morelia;Mexico;01/set/89;24;170;Ecuador;39;8;No
306954;Jordi ALBA;Defender;18;FC Barcelona;Spain;21/mar/89;25;170;Spain;25;5;Yes
175498;DaMarcus BEASLEY;Defender;7;Puebla FC;Mexico;24/mai/82;32;170;USA;115;17;No
183857;Andres INIESTA;Midfielder;6;FC Barcelona;Spain;11/mai/84;30;170;Spain;96;12;Yes
177855;Xavi HERNANDEZ;Midfielder;8;FC Barcelona;Spain;25/jan/80;34;170;Spain;131;12;Yes
180936;Yoshito OKUBO;Forward;13;Kawasaki Frontale;Japan;09/jun/82;32;170;Japan;56;5;Yes
199600;Jean MAKOUN;Midfielder;11;Stade Rennais FC;France;29/mai/83;31;170;Cameroon;67;5;No
306424;Tommy OAR;Midfielder;11;FC Utrecht;Netherlands;10/dez/91;22;170;Australia;14;1;No
330693;Andy NAJAR;Midfielder;17;RSC Anderlecht;Belgium;16/mar/93;21;170;Honduras;17;1;No
196748;Philipp LAHM;Midfielder;16;FC Bayern Muenchen;Germany;11/nov/83;30;170;Germany;105;5;Yes
291372;Yuto NAGATOMO;Defender;5;FC Internazionale;Italy;12/set/86;27;170;Japan;69;3;No
229440;Jose FUENZALIDA;Midfielder;19;CSD Colo-Colo;Chile;22/fev/85;29;170;Chile;23;1;Yes
